Image,ClusteredVoxels,ClusteredVoxelProportion
Image1,427603.0,0.1641434963394261
Image2,494056.0,0.189652736831761
Image3,515573.0,0.1979124441086871
Image4,576299.0,0.2212232673693003
Image5,563546.0,0.21632778719536164
Image6,548837.0,0.21068145943887578
Image7,569275.0,0.2185269721648978
Image8,532642.0,0.20446470248624213
Image9,583807.0,0.22410535512480345
Image10,532734.0,0.20450001842570756
Image11,530107.0,0.20349159480640724
Image12,546497.0,0.20978320619595126
Image13,479506.0,0.18406744423152516
Image14,511054.0,0.1961777405169025
Image15,560669.0,0.21522339634925314
Image16,512031.0,0.19655278043926888
Image17,532648.0,0.20446700569968554
Image18,492200.0,0.1889402761399371
Image19,600767.0,0.23061577179147014
Image20,569661.0,0.21867514556308962
Image21,586181.0,0.2250166599105739
Image22,578612.0,0.22211115615172955
Image23,469463.0,0.1802122487961871
Image24,443011.0,0.1700581484620676
Image25,550052.0,0.21114786016116352
Image26,470645.0,0.18066598184453617
Image27,545481.0,0.20939319538620282
Image28,526419.0,0.20207588627653303
Image29,520592.0,0.19983908215408805
Image30,538811.0,0.2068327897749607
