,PCA_heart,ICA_heart,GMM_heart,PCA_brain,ICA_brain,GMM_brain,PCA_kidney,ICA_kidney,GMM_kidney
P117615,0.62,0.23,0.17,0.25,0.02,0.11,0.53,0.09,0.28
P118121,0.72,0.44,0.52,0.17,0.02,0.07,0.48,0.05,0.37
P118126,0.61,0.32,0.56,0.17,0.02,0.08,0.05,0.03,0.25
P118127,0.49,0.41,0.72,0.13,0.02,0.09,0.07,0.02,0.17
P118131,0.39,0.42,0.2,0.23,0.02,0.08,0.05,0.03,0.27
P118132,0.4,0.24,0.22,0.14,0.02,0.12,0.07,0.04,0.27
P118271,0.53,0.47,0.39,0.17,0.02,0.09,0.45,0.05,0.39
P118849,0.44,0.03,0.19,0.12,0.02,0.1,0.56,0.06,0.33
P118851,0.41,0.39,0.58,0.18,0.02,0.1,0.35,0.03,0.29
P118855,0.52,0.29,0.35,0.15,0.02,0.07,0.03,0.02,0.12
P118858,0.32,0.29,0.62,0.14,0.02,0.08,0.04,0.02,0.25
P121613,0.51,0.57,0.5,0.21,0.02,0.1,0.44,0.03,0.27
P121614,0.58,0.3,0.47,0.12,0.02,0.11,0.11,0.04,0.31
P121620,0.49,0.43,0.52,0.16,0.03,0.07,0.03,0.03,0.3
P121621,0.51,0.58,0.34,0.13,0.02,0.05,0.49,0.06,0.37
P121627,0.49,0.34,0.14,0.21,0.02,0.09,0.03,0.03,0.26
P122810,0.6,0.46,0.52,0.23,0.02,0.09,0.42,0.02,0.32
P122815,0.6,0.29,0.51,0.13,0.02,0.11,0.04,0.03,0.22
P122818,0.51,0.28,0.4,0.19,0.03,0.1,0.02,0.02,0.15
P122896,0.46,0.51,0.4,0.15,0.02,0.19,0.1,0.02,0.28
P122897,0.5,0.49,0.37,0.14,0.02,0.13,0.54,0.07,0.42
P122947,0.44,0.51,0.73,0.23,0.03,0.12,0.03,0.02,0.09
P123963,0.53,0.36,0.34,0.1,0.02,0.12,0.13,0.03,0.3
P124010,0.3,0.3,0.66,0.14,0.03,0.11,0.14,0.04,0.27
P124040,0.47,0.56,0.35,0.16,0.02,0.11,0.05,0.03,0.27
P125111,0.34,0.03,0.34,0.22,0.03,0.17,0.5,0.08,0.32
P125113,0.45,0.51,0.46,0.21,0.02,0.11,0.47,0.03,0.37
P125114,0.4,0.47,0.48,0.21,0.03,0.07,0.04,0.03,0.2
P125915,0.5,0.48,0.15,0.18,0.03,0.06,0.05,0.03,0.28
P126169,0.54,0.39,0.24,0.15,0.02,0.12,0.41,0.05,0.29
