,GMM_18,ICA_22,PCA_25
P117615,572.0,58.0,72.0
P118121,1188.0,54.0,77.0
P118126,1464.0,70.0,56.0
P118127,1412.0,59.0,98.0
P118131,1592.0,64.0,73.0
P118132,1182.0,53.0,67.0
P118271,952.0,58.0,87.0
P118849,1249.0,60.0,64.0
P118851,1655.0,51.0,78.0
P118855,1182.0,63.0,87.0
P118858,1148.0,57.0,93.0
P121613,962.0,43.0,98.0
P121614,1367.0,52.0,68.0
P121620,805.0,49.0,78.0
P121621,1588.0,53.0,90.0
P121627,1097.0,68.0,90.0
P122810,1503.0,58.0,85.0
P122815,1335.0,57.0,59.0
P122818,1599.0,73.0,110.0
P122896,1433.0,63.0,74.0
P122897,1510.0,55.0,62.0
P122947,1643.0,71.0,87.0
P123963,1941.0,49.0,69.0
P124010,935.0,51.0,79.0
P124040,1411.0,55.0,81.0
P125111,1048.0,53.0,59.0
P125113,1239.0,52.0,68.0
P125114,1248.0,59.0,81.0
P125915,1666.0,52.0,89.0
P126169,1619.0,59.0,105.0
